"Compound","Ap","Ft","Da","Db","Dg","Dl","Rc","Rm","Ps","Pn","Pl"
"β-Cedrene",0,0,0.006,0,0,0,0,0,0,0,0
"trans-Calamenene",0,0,0,0,0,0,0,0,0.0544,0,0
"β-Acoradiene",0,0.0352,0,0,0,0,0,0,0,0,0
"Widdra-2,4(14)-diene",0,0.0264,0,0,0,0,0,0,0,0,0
"β-Alaskene",0.9675,0,0,0,0,0,0,0,0,0,0
"Isolongifolol",0.1935,0,0,0,0,0,0,0,0,0,0
"Xanthorrizol",0.1935,0,0,0,0,0,0,0,0,0,0
"α-Cubebene",0.1161,0.00088,0.002,0.042,0,0,0.0081,0,0,0,0.02
"α-Ylangene",0.00387,0.00088,0,0,0.1438,0,0,0,0,0,0
"α-Copaene",0.00387,0.0176,0.006,0.3255,0,0,0.0081,0,0,0,0.112
"Cadinadiene",0,0.0176,0,0,0,0,0,0,0,0,0
"γ-Muurolene",0.1548,0.0704,0.04,0,0,0,0.00081,0,0,0,0
"γ-Amorphene",0,0,0.11,0,0,0,0,0,0,0,0
"α-Muurolene",0.00387,0.0088,0,0,0,0,0.0162,0,0,0,0.0345
"Cubebol",0,0,0,0,0,0,0.0081,0,0,0,0
"γ-Cadinene",0,0.0176,0.054,0,0,0.24,0,0,0,0,0
"δ-Cadinene",0.5418,0.0528,0.002,0.147,0,0.36,0.0081,0,0,0,0
"Elemol",0,0,0,0,0,0,0.00081,0,0,0,0
"α-Cadinene",0,0,0.002,0,0,0,0,0,0,0,0
"1,10-di-épi-Cubenol",0,0.0528,0,0,0,0,0,0,0,0,0
"1-epi-Cubenol",0.2709,0.044,0,0.0315,0,0,0.0081,0,0.0816,0,0
"γ-Eudesmol",0,0,0,0,0,0,0.0081,0,0,0,0
"Caryophylla-4(1),8(13)-dien-5-ol",0,0,0,0,0,0,0.00081,0,0,0,0
"τ-Muurolol",0.1548,0,0.034,0.056,0,0.168,0.0081,0,0,0,0
"Cubenol",0,0.0528,0,0,0,0,0.0081,0,0.1344,0,0
"14-hydroxy-9-epi (E)-caryophyllene",0,0,0,0,0,0,0.0081,0.06,0,0,0
