;;abiotic;abiotic;abiotic;abiotic;abiotic;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;toxicity
;;antioxidant;drought;metal;salt;uv;antifeedant;arbuscula;attractant;germination;herbicidal;hppd;hyphal;phytotoxicity;quorum sensing;repulsive;toxicant;anti-inflammatory;antibacterial;anticancer;antidiabetic;antifungal;antimicrobial;antiparasitic;antiviral;arthritis;burns;cardiovascular;cytotoxicity;obesity;rheumatism;sedative;wound;toxicity
alkaloid;acridine;262;2;250;163;78;1;0;0;11;1;0;0;8;9;0;5;62;125;143;14;78;79;25;117;26;16;45;1273;3;0;8;76;396
alkaloid;benzylamine;70;0;163;79;23;0;0;0;4;6;0;0;2;0;0;1;51;30;19;12;72;23;2;23;12;1;87;121;34;0;6;18;101
alkaloid;colchicine;185;4;82;185;19;0;0;0;44;0;0;0;9;1;0;1;855;46;167;96;129;48;16;102;1594;31;592;1243;168;19;34;219;860
alkaloid;cyclopeptide;57;1;167;34;16;0;0;0;17;1;0;1;13;62;0;0;89;243;42;29;372;344;9;92;674;1;77;509;44;6;4;49;168
alkaloid;imidazole;1069;7;2454;1183;297;3;0;1;52;8;0;0;47;18;5;2;980;844;329;186;2349;654;91;1187;382;120;1253;2776;290;1;480;452;1748
alkaloid;indole;1299;53;1456;705;278;4;0;13;173;6;0;2;40;165;3;1;1013;1004;472;224;731;773;54;842;307;19;783;3626;338;12;78;338;1347
alkaloid;indolizidine;1;0;2;8;0;0;0;0;0;0;0;0;1;0;0;1;2;5;6;6;4;6;2;14;1;0;0;27;0;0;0;1;4
alkaloid;isoquinoline;135;2;146;141;20;2;0;0;6;3;0;0;7;3;0;1;94;130;82;49;103;106;15;319;58;5;103;621;32;0;18;26;181
alkaloid;isoxazole;123;2;77;135;20;0;0;0;4;13;1;0;5;2;0;0;455;233;74;38;220;182;50;228;508;2;77;359;56;2;27;49;271
alkaloid;muscarine;2;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;2;3;0;25;2;2;0;3;4;19
alkaloid;oxazole;71;1;158;73;27;0;0;0;4;7;0;0;3;4;0;0;163;254;59;85;206;165;6;93;62;2;125;398;57;0;18;19;243
alkaloid;phenylethylamine;3;0;13;21;6;1;0;0;0;0;0;0;2;0;0;0;0;2;1;1;1;4;0;2;0;0;3;6;0;0;0;1;9
alkaloid;piperidine;562;1;285;278;66;1;0;0;7;5;0;0;2;1;0;0;433;369;106;429;236;227;30;301;429;42;987;1021;464;0;431;102;779
alkaloid;purine;356;19;373;182;67;0;0;1;72;1;0;2;3;22;0;2;158;122;95;96;108;99;36;862;263;11;464;1167;173;0;18;106;675
alkaloid;putrescine;192;55;86;121;33;0;0;8;68;0;0;0;17;9;0;1;18;27;7;3;23;29;8;15;14;4;30;224;20;0;2;47;163
alkaloid;pyridine;1020;7;5284;1357;723;5;0;3;33;48;2;0;28;25;15;12;1132;1092;513;216;1041;889;41;942;473;69;1247;2889;253;2;811;383;1816
alkaloid;pyrrolidine;766;0;285;237;34;0;0;0;3;8;1;0;3;10;0;0;198;234;74;209;122;115;8;296;63;12;155;576;83;0;17;49;246
alkaloid;pyrrolizidine;32;2;14;13;6;6;0;2;5;1;0;0;17;1;0;11;13;20;2;5;16;16;1;9;3;1;44;128;1;0;3;6;463
alkaloid;quinazoline;129;0;130;67;19;0;0;0;2;5;1;1;3;5;0;0;209;269;170;78;186;199;21;200;60;3;212;793;37;0;43;66;413
alkaloid;quinoline;549;4;1195;399;149;1;0;0;16;7;1;0;21;67;0;1;574;2404;325;147;1058;2972;102;489;385;86;526;1975;171;12;53;601;1328
alkaloid;quinolizidine;3;1;6;9;1;0;0;0;3;0;0;0;3;0;0;1;14;12;5;7;7;12;0;23;2;0;4;51;0;0;0;2;22
alkaloid;spermidine;252;42;93;144;32;0;0;0;76;0;0;2;19;10;0;0;22;40;12;6;34;46;11;22;17;5;41;315;41;0;2;35;165
alkaloid;spermine;218;35;133;116;31;0;1;0;47;1;0;0;14;3;1;0;27;28;12;7;20;40;5;27;14;6;49;426;36;0;2;29;182
alkaloid;thiazole;855;4;498;4200;86;3;0;0;33;16;0;2;11;26;1;3;1338;962;342;527;916;756;132;584;237;22;359;2708;291;2;106;160;1196
alkaloid;tropane;21;2;16;30;6;0;0;0;3;0;1;0;4;1;0;0;10;4;2;7;2;3;1;16;5;1;47;30;9;0;4;5;70
phenolic compound;acetophenone;480;3;378;234;85;2;0;9;14;3;0;0;4;12;0;2;205;247;28;29;212;190;2;54;25;7;60;272;31;0;4;23;148
phenolic compound;anthraquinone;684;2;350;191;163;3;1;0;20;4;1;2;34;12;2;1;323;537;102;136;286;386;9;112;53;10;54;958;49;0;10;82;722
phenolic compound;biflavonoids;392;1;13;8;9;0;0;0;3;0;0;0;0;1;0;0;86;41;7;27;16;23;0;56;4;0;27;148;22;0;1;8;32
phenolic compound;flavonoids;25128;250;1698;596;1099;37;2;3;498;9;1;3;142;98;2;7;3359;3847;672;1879;1640;3228;77;952;414;79;1144;5261;733;8;117;871;3051
phenolic compound;isoflavanoids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phenolic compound;lignans;745;2;22;40;26;5;0;0;20;1;0;1;13;0;1;0;437;103;48;47;99;68;13;148;34;2;86;734;61;0;10;33;134
phenolic compound;naphthoquinone;371;1;163;102;48;3;0;0;17;3;1;0;11;5;0;0;207;298;128;26;302;206;41;107;18;9;27;1116;18;0;6;68;315
phenolic compound;phenol;27328;227;7660;1959;2582;15;1;17;765;17;0;4;401;133;22;70;2161;3757;653;1253;1978;3544;70;543;217;207;797;4942;654;4;87;797;6530
phenolic compound;phenolic acid;8816;87;523;187;283;8;0;2;292;1;0;1;94;13;2;1;435;558;81;213;282;710;4;62;19;6;90;617;68;0;8;77;428
phenolic compound;phenylpropanoid;344;47;17;26;27;2;0;8;29;1;0;0;10;3;0;0;84;60;4;16;47;62;4;32;5;1;10;132;1;0;2;33;40
phenolic compound;stilbene;2445;5;201;125;164;3;0;0;23;0;0;1;7;12;1;0;701;150;110;116;150;121;10;116;51;12;267;1078;238;0;2;91;280
phenolic compound;tannin;5130;48;871;184;208;8;0;0;158;0;0;0;40;27;2;4;662;2094;144;735;788;1557;45;280;110;77;153;1199;129;1;42;396;1522
phenolic compound;xanthone;468;0;37;22;23;0;0;0;6;1;0;0;2;7;0;1;149;237;64;77;139;143;2;75;28;3;34;661;29;0;2;39;140
polyketide;acetogenin;18;0;5;4;1;0;0;0;3;1;0;0;2;1;0;0;7;23;6;2;13;9;5;6;0;0;2;226;1;0;0;2;34
polyketide;ansamycin;4;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;3;21;3;1;9;24;0;10;2;1;1;40;0;0;0;2;17
polyketide;macrolide;68;3;147;72;30;0;0;10;19;2;0;0;12;48;1;0;258;1156;68;98;1063;2220;158;197;207;40;332;766;104;0;50;235;672
polyketide;polyene;73;1;94;48;40;0;0;4;10;1;0;0;4;5;2;2;22;61;6;1;904;91;4;25;13;8;18;125;8;0;1;15;144
polyketide;polyether;25;1;381;161;62;0;0;0;3;0;0;0;1;0;2;1;11;87;13;0;15;38;6;7;2;6;19;130;3;0;1;39;64
polyketide;tetracycline;441;13;1285;718;201;0;0;0;57;1;0;2;41;171;1;0;428;3176;42;258;1182;6587;74;166;921;371;397;814;173;3;126;1809;1872
terpenoid / terpene;diterpene;426;4;34;50;28;26;0;3;38;5;0;0;33;13;0;1;552;393;73;72;230;274;11;209;72;5;56;1373;36;1;8;68;308
terpenoid / terpene;hemiterpene;28;24;29;4;6;0;0;0;2;0;1;0;2;0;0;0;5;7;0;1;3;4;2;4;4;0;1;31;3;0;0;1;18
terpenoid / terpene;monoterpene;174;49;13;12;9;6;1;13;29;5;0;0;29;4;0;0;54;100;12;8;80;112;3;15;4;1;5;118;3;1;3;11;107
terpenoid / terpene;norisoprenoid;17;1;4;2;5;0;0;3;1;0;0;0;2;0;0;0;14;7;1;1;4;4;0;2;0;0;0;22;0;0;1;0;2
terpenoid / terpene;polyterpene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
terpenoid / terpene;sesquiterpene;838;16;70;59;37;60;5;31;128;21;0;5;103;22;0;0;723;785;108;97;680;696;42;223;54;10;37;1999;48;0;29;117;334
terpenoid / terpene;sesterterpene;7;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;27;29;5;0;18;20;0;4;1;0;0;113;1;0;1;2;12
terpenoid / terpene;tetraterpene/carotenoid/xanthophyll;7438;329;573;494;389;0;0;3;295;9;4;4;220;16;0;2;333;174;50;117;98;196;5;52;53;12;496;454;411;1;3;96;806
terpenoid / terpene;triterpene;1113;3;48;58;43;31;0;0;30;2;0;6;16;14;1;1;913;481;133;307;327;354;27;292;128;21;77;2063;120;2;22;196;400
