,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
alkaloid,acridine,0.7351822400026233,0.9845428013969274,0.88775802987326,0.9626871177714745,0.9353634142742372,0.9881375940712565,0.9889041006050073,0.9884327195815776,0.979009198078405,0.9881498909675198,0.988891803708744,0.9887893295732157,0.9839607483071273,0.9853502975848896,0.9887032512993721,0.9884983030283157,0.9649087570297257,0.9476398157105147,0.9687453886639013,0.9886581626797396,0.9079536325031562,0.928841960289223,0.9002803692348051,0.9847641455296683,0.9529930645505075,0.9203243101441196,0.959141512682199,0.9841656965781836,0.961773048482563,0.9711063927464708,0.8334631339050024,0.9788042498073486,0.8854011247561115
alkaloid,benzylamine,0.7411954222754177,0.9921381843222771,0.8946155990228066,0.9698316145005,0.9422947648013641,0.9957411749274483,0.9965158793920414,0.9960444983686118,0.9865635913495434,0.9958026594087652,0.9965035824957781,0.9964011083602499,0.9915233395091079,0.9928800970635012,0.9963150300864062,0.9960772900919808,0.9725123378859176,0.9555959075929236,0.9766113033070453,0.9962699414667738,0.9147784099293338,0.9364045514912036,0.9074084701021462,0.9921791739764884,0.9598424357692118,0.9278623075535735,0.9666385204374416,0.991654506402584,0.9689093472807463,0.9776688363856962,0.8314751356757555,0.9863996327326983,0.8905535242904691
alkaloid,colchicine,0.7220737485858569,0.9720573527241724,0.8738379433031103,0.9496933973864996,0.9230583200800118,0.9756275516059747,0.9764022560705677,0.9759308750471382,0.9668024790542867,0.9756398485022381,0.9763899591743044,0.9762874850387762,0.97146710170353,0.9727746716728698,0.9762014067649325,0.9759636667705072,0.9530955386860357,0.9398353855486875,0.9576289944418029,0.976312078831303,0.8947877555704941,0.9167664081585808,0.8874997950517289,0.9721803216868062,0.9404174386384876,0.9145119771769605,0.9597891492187371,0.9717950189372202,0.9504599039202505,0.9588012985522454,0.8206415700677149,0.9665155514748077,0.8767031201324785
alkaloid,cyclopeptide,0.7336697217622272,0.9847354527717204,0.8872292633339345,0.9623632995032054,0.9345149284320637,0.9883302454460494,0.9891049499106426,0.9886335688872129,0.979267432899936,0.9883507402731551,0.9890926530143792,0.9889983768096933,0.9842025872669738,0.9859774392943221,0.9889041006050073,0.9886581626797396,0.9652325752979948,0.9481029988031021,0.9692905510649112,0.9889163975012707,0.9091546293715467,0.9314939909166926,0.9027356495220606,0.9848256300109852,0.9529889655850863,0.9207465035824958,0.9647447984128806,0.9842517748520273,0.9617607515862996,0.970471053106196,0.8273269826695742,0.9789723073896148,0.8837082520371858
alkaloid,imidazole,0.6851830597957076,0.9279032972077847,0.8495146824941385,0.907818366644259,0.8871349871292485,0.9314652981587447,0.9322154088308111,0.9317522257382237,0.9226648193995836,0.9315267826400616,0.9322031119345477,0.9321006377990195,0.9275999737666213,0.9287353871882736,0.9320555491793872,0.9317850174615927,0.9096710990146087,0.9008952140479743,0.9144668885573282,0.9319776688363857,0.857265826105491,0.8908527487662115,0.8483874670033283,0.928616517191061,0.9052729091177387,0.8712351002606942,0.9053876801495303,0.9283377875424242,0.9082241642209506,0.9159671099014609,0.7892352970110345,0.9260341689757505,0.8399108065124362
alkaloid,indole,0.70005820530898,0.9411634503451329,0.8540030496302733,0.9205538522077028,0.8961076224360971,0.9443647423390337,0.9451066550802577,0.9447418471577774,0.9365726090734698,0.9443934350969815,0.9450943581839943,0.9450082799101507,0.9404420324310144,0.9428153334098474,0.9449303995671493,0.9446680657801971,0.9229066583594301,0.9099170369398764,0.927718843763834,0.9449590923250971,0.8715671164598056,0.8904469511895198,0.8623034546080569,0.9412044399993441,0.9152784837107114,0.8844132740896198,0.91767227951665,0.9403928448459609,0.9201890442852224,0.9300880457772458,0.8092341493007165,0.9355888573723992,0.8495556721483497
alkaloid,indolizidine,0.7437654735944648,0.995282090800282,0.8964232427735239,0.9727869685691332,0.9448484202587267,0.9988850814054533,0.9996597858700464,0.9991884048466168,0.9896747061041793,0.9988973783017167,0.999647488973783,0.9995450148382549,0.9946590480562706,0.9960240035415061,0.9994589365644111,0.9992211965699858,0.9755988588480268,0.9580183961568101,0.9794764801364135,0.9994138479447787,0.9177091702054402,0.938982800741093,0.9104130117558328,0.9953230804544932,0.9629043629387942,0.9305881195586234,0.9696922496761817,0.9947902149497467,0.9719056910035907,0.9807061697627519,0.8338156449312194,0.9894943516256497,0.892894033545933
alkaloid,isoquinoline,0.736871013756128,0.9872809102982407,0.8896107622436097,0.9649333508222525,0.9379293666278631,0.9908839009034119,0.9916422095063206,0.991170828482891,0.9817063173255071,0.9909043957305176,0.9916299126100572,0.9915274384745291,0.9866906592775984,0.988031020970307,0.9914413602006853,0.99120362020626,0.9679337935105179,0.9508534046006788,0.9717376334213245,0.9913962715810529,0.9107327310586808,0.9317768195307504,0.9032316243380171,0.9874120771917169,0.9574117492744831,0.9233657424865964,0.9621501533013067,0.9868136282402321,0.9641012608417635,0.973328032004722,0.8307660146579003,0.9816243380170845,0.8863602826646554
alkaloid,isoxazole,0.7349035103539866,0.9854035841353642,0.8871513829909331,0.963056024659376,0.9360110508107754,0.988990178878851,0.9897648833434441,0.9892935023200145,0.979812595300946,0.9891090488760637,0.989760784378023,0.9896501123116526,0.9847969372530373,0.9861454968765884,0.9895640340378089,0.9893180961125412,0.9659662901083766,0.9487629322359037,0.9700406617369776,0.989535341279861,0.9097079897033988,0.9308750471381023,0.9019855388499942,0.9858298765391615,0.9548048072666458,0.9244642652194586,0.9639618960174452,0.9849117082848289,0.9624206850191012,0.9713933203259497,0.8266834450984571,0.9798207932317883,0.8852043744158974
alkaloid,muscarine,0.7437449787673591,0.9952533980423341,0.8963863520847338,0.9727582758111852,0.9448607171549901,0.9988563886475054,0.9996310931120985,0.9991597120886688,0.9896460133462314,0.9988686855437687,0.9996187962158352,0.9995163220803069,0.9946221573674805,0.9959953107835582,0.9994302438064633,0.9991843058811956,0.9755209785050253,0.9581946516699185,0.9794641832401502,0.9993851551868308,0.9176476857241233,0.9389295141906183,0.9103351314128314,0.9952779918348609,0.9627772950107393,0.9306086143857291,0.9696799527799184,0.9947615221917988,0.9719015920381696,0.9806282894197504,0.833582003902215,0.9894902526602286,0.8929883097506189
alkaloid,oxazole,0.7368956075486547,0.9878465675263564,0.8902583987801479,0.9655645914971062,0.9379375645587054,0.9914413602006853,0.9922160646652785,0.9917446836418488,0.9822637766227804,0.9915110426128445,0.9922037677690151,0.9921012936334869,0.9872317227131872,0.9886130740601072,0.9920152153596432,0.9917692774343756,0.968802774179797,0.951599416307324,0.9725000409896543,0.9919701267400108,0.9123231296420783,0.9332032594973029,0.9042973553475103,0.9879203489039367,0.956124674132249,0.9244642652194586,0.9627568001836336,0.9873628896066633,0.9646095325539834,0.9737051368234657,0.8294543457231395,0.9821981931760424,0.8874342116049909
alkaloid,phenylethylamine,0.7437941663524127,0.9952943876965454,0.8965257169090521,0.9728484530504501,0.9449754881867817,0.9989055762325589,0.9996720827663098,0.9992007017428801,0.9896870030004427,0.99890967519798,0.9996597858700464,0.9995573117345182,0.9946795428833762,0.9960363004377695,0.9994712334606746,0.9992252955354068,0.9755865619517634,0.9580552868456002,0.979488777032677,0.9994261448410421,0.9176968733091767,0.9389705038448296,0.9104089127904117,0.9953189814890722,0.9628182846649506,0.9305922185240445,0.9696963486416028,0.9948025118460101,0.9719179878998541,0.980677477004804,0.8336557852797953,0.9895066485219131,0.8929473200964076
