,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
alkaloid,acridine,0.004259953236603568,0.0018535681186283596,0.010198008015554939,0.012182122734886554,0.012165086946787074,0.005,0.0,0.0,0.004495300367797303,0.005076142131979695,0.0,0.0,0.006488240064882401,0.011135857461024499,0.0,0.041666666666666664,0.0023756999830307143,0.004523107177974435,0.0006079027355623101,0.0,0.006345558109323473,0.005329914991229254,0.0037621581941640666,0.024231127679403542,0.012991339107261825,0.0036760346258745405,0.00354997269251775,0.013344453711426188,0.011350235849056603,0.0316333118140736,0.03198025909932141,0.003211561621838619,0.015422389319419935
alkaloid,benzylamine,0.0011370551872137344,0.0,0.006547359231776516,0.0035023602862798843,0.005970594820508993,0.0,0.0,0.0,0.0016346546791990192,0.030456852791878174,0.0,0.0,0.0016220600162206002,0.0,0.0,0.008333333333333333,0.002206007127099949,0.008652900688298918,0.006889564336372847,0.0,0.001548915758968722,0.0049251113210093105,0.0010552394934850431,0.001863932898415657,0.002664890073284477,0.0031424166963121072,0.0016384489350081922,0.0008340283569641367,0.002800707547169811,0.004088659350118356,0.0030845157310302285,0.0024086712163789645,0.003913143558658789
alkaloid,colchicine,0.0030748534640146056,0.0037071362372567192,0.003333201063449863,0.0030455306837216386,0.013956265392939772,0.0,0.0,0.0,0.019207192480588477,0.0,0.0,0.0,0.0072992700729927005,0.0011135857461024498,0.0,0.008333333333333333,0.016629899881215,0.06086529006882989,0.03485309017223911,0.2676056338028169,0.0022983911262116517,0.008838213466468762,0.0022022389429253073,0.014911463187325256,0.011992005329780146,0.052057393572868496,0.2225559803386128,0.026688907422852376,0.03272405660377359,0.036797934151065206,0.031017890191239975,0.01364913689281413,0.03322335609606384
alkaloid,cyclopeptide,0.000912847122129336,0.0009267840593141798,0.006666402126899726,0.0024364245469773106,0.0026121352339726843,0.0,0.0,0.0,0.0073559460563955865,0.005076142131979695,0.0,0.02564102564102564,0.010543390105433901,0.06904231625835189,0.0,0.0,0.004921092821992194,0.007669616519174041,0.00911854103343465,0.09859154929577464,0.012441291096232637,0.02550263122385643,0.016379152138006975,0.008387698042870456,0.010215411947590495,0.00527688841456184,0.09352812670671765,0.0016680567139282735,0.007517688679245283,0.009683666881859263,0.012905613818630476,0.0016057808109193096,0.0065602700836338524
alkaloid,imidazole,0.017328080458665643,0.0074142724745134385,0.09948017935796198,0.04598751332419674,0.08918576013135308,0.015,0.0,0.007936507936507936,0.021659174499387004,0.04568527918781726,0.0,0.0,0.038929440389294405,0.021158129175946547,0.08333333333333333,0.016666666666666666,0.03241133548277617,0.12379547689282203,0.06018237082066869,0.014084507042253521,0.04291995603077846,0.1592227769531777,0.03060194531106625,0.08574091332712022,0.13446591161447924,0.05863868137080517,0.05243036592026215,0.10091743119266056,0.06780660377358491,0.07230471271788251,0.06948797038864898,0.1951023685266961,0.06782782168341901
alkaloid,indole,0.021203677012267386,0.04911955514365153,0.058807190190865444,0.043094259174661184,0.05351145607881185,0.02,0.0,0.10317460317460317,0.0723334695545566,0.030456852791878174,0.0,0.05128205128205128,0.0340632603406326,0.18262806236080179,0.05,0.008333333333333333,0.039538435431868316,0.07738446411012782,0.0690982776089159,0.16901408450704225,0.051513940241830716,0.04979085143705303,0.036336942558267575,0.05125815470643057,0.0953808572063069,0.06071386220799241,0.042326597487711635,0.0158465387823186,0.0511497641509434,0.10458360232408005,0.09088217149907464,0.031714171015656364,0.0526356172792143
alkaloid,indolizidine,1.6014861791742738e-05,0.0,7.93619300821396e-05,0.0,0.0005970594820508994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008110300081103001,0.0,0.0,0.008333333333333333,0.001018157135584592,0.0,0.0,0.0,0.00024982512241431,0.00026986911347996224,0.0002752798678656634,0.001863932898415657,0.001554519209415945,0.00011858176212498517,0.00013653741125068268,0.0,0.00014740566037735848,0.0012911555842479018,0.0006662553979025293,0.0,0.00015345661014348194
alkaloid,isoquinoline,0.002210050927260498,0.0018535681186283596,0.0059124637911194,0.0030455306837216386,0.010597805806403463,0.01,0.0,0.0,0.002451982018798529,0.015228426395939087,0.0,0.0,0.0056772100567721,0.0033407572383073497,0.0,0.008333333333333333,0.0083149499406075,0.010226155358898722,0.006889564336372847,0.0,0.006595383231737783,0.006949129672109027,0.004955037621581942,0.013979496738117428,0.035753941816566735,0.005869797225186766,0.008055707263790278,0.004170141784820684,0.003979952830188679,0.018076178179470628,0.015619987661937076,0.0072260136491368926,0.007097368219136039
alkaloid,isoxazole,0.0020338874475513274,0.0018535681186283596,0.0030951152732034445,0.0030455306837216386,0.010224643630121651,0.0,0.0,0.0,0.0016346546791990192,0.06598984771573604,0.07142857142857142,0.0,0.0040551500405515,0.0022271714922048997,0.0,0.0,0.006448328525369082,0.007669616519174041,0.011347517730496455,0.028169014084507043,0.011791745777955432,0.014977735798137904,0.008487795925857956,0.047530288909599254,0.025871641128136797,0.027392387050871575,0.0694975423265975,0.0016680567139282735,0.007517688679245283,0.016569829997848073,0.008982109808760025,0.010839020473705338,0.010473413642292642
alkaloid,muscarine,3.2029723583485475e-05,0.0,3.96809650410698e-05,0.0,0.0009702216583327114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024582104228121925,0.0004052684903748733,0.0,4.9965024482862e-05,6.746727836999056e-05,0.0,0.0,0.00022207417277370642,0.0004743270484999407,0.00040961223375204805,0.0,0.0005896226415094339,0.0,4.9352251696483653e-05,0.0012043356081894822,0.0007289188981815392
alkaloid,oxazole,0.0011370551872137344,0.0009267840593141798,0.006269592476489028,0.004111466423024212,0.0054481677737144565,0.0,0.0,0.0,0.0016346546791990192,0.03553299492385787,0.0,0.0,0.0024330900243309003,0.004454342984409799,0.0,0.0,0.014423892754115052,0.012291052114060964,0.011550151975683891,0.0,0.012791046267612672,0.013965726622588045,0.007707836300238576,0.0065237651444548,0.010548523206751054,0.009664413613186292,0.00860185690879301,0.0016680567139282735,0.002800707547169811,0.012911555842479019,0.009944478716841456,0.0072260136491368926,0.009437581523824139
alkaloid,phenylethylamine,4.804458537522821e-05,0.0,0.0005158525455339073,0.0009136592051164915,0.001641913575639973,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0016220600162206002,0.0,0.0,0.0,0.000509078567792296,0.0002949852507374631,0.0,0.0,9.9930048965724e-05,6.746727836999056e-05,0.00018351991191044228,0.0,0.00022207417277370642,5.9290881062492586e-05,0.0,0.0,0.00014740566037735848,0.00021519259737465033,0.00014805675508945096,0.0,0.00034527737282283435
