,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
alkaloid,acridine,0.020501389192061056,0.0011726254871471504,0.031179151497910916,0.01901281992525009,0.02712011126155513,0.0013618367767571082,0.0,0.0,0.0042826812941686694,0.0013721669129826944,0.0,0.0,0.004387816983192134,0.006426905108743795,0.0,0.008790618594388446,0.003512366862975709,0.008784911915836151,0.0008224655807755326,0.0,0.017289276876506228,0.012497229430452006,0.010697086528969196,0.01528669297367482,0.023744331476818238,0.009194448775239198,0.005851123113849207,0.0088991893444118,0.0180047817624118,0.041530872453115174,0.12398911091858036,0.0030870465569254025,0.04795444992860464
alkaloid,benzylamine,0.009809321434177638,0.0,0.03588344051273705,0.009798584618694818,0.02386013040977141,0.0,0.0,0.0,0.0027916568012246222,0.01475832795549811,0.0,0.0,0.001966380129425217,0.0,0.0,0.003151580441130603,0.005846475732356526,0.030125982208337204,0.01670915001439118,0.0,0.007565084192625628,0.0207008641471949,0.005378466351866459,0.0021078958764655896,0.008731006066624395,0.01408928133424641,0.004840899848887461,0.0009970327592214963,0.007963971568388814,0.00962246376362618,0.02143717339837537,0.004150337421593527,0.02181132233183413
alkaloid,colchicine,0.010136313063186873,0.0016064472082725713,0.0069805169834608275,0.003255844664929487,0.02131192122171912,0.0,0.0,0.0,0.012534241625244988,0.0,0.0,0.0,0.0033812568347098234,0.00044022937770576525,0.0,0.0012042774828560567,0.016841277979675412,0.08097432971750824,0.03229996543461183,0.029746893306255393,0.004289513837286724,0.014194989655157406,0.004289138072570252,0.006443729646505814,0.015013258878534356,0.08918784226154869,0.25126420626325147,0.012191512153637306,0.03555717457521991,0.033092300802509717,0.08237415168010635,0.00898688620302489,0.0707616393469052
alkaloid,cyclopeptide,0.004433630362033438,0.0005917146296905863,0.020569485262370554,0.003837598218613987,0.005876989031078601,0.0,0.0,0.0,0.007072591093324556,0.0013848091239506588,0.0,0.0031123664548677976,0.007195895426038799,0.04021393304612329,0.0,0.0,0.007342649651554127,0.01503339800982429,0.012450648273367521,0.016147001848892284,0.03421018547065339,0.06034779754816986,0.04700053980217343,0.00534030028154114,0.018842776002276785,0.013320084747719847,0.15557486508204713,0.0011226475514117507,0.012035116145796297,0.012830666208231731,0.05049672428993292,0.0015577442502232527,0.020586472870411696
alkaloid,imidazole,0.03368255162443855,0.0018945034061735324,0.12284615631910309,0.028989422284263842,0.08030597097828426,0.0016501460443876783,0.0,0.0006929962000613887,0.008334412869770123,0.004987989403010281,0.0,0.0,0.010633489948117284,0.004932096421862191,0.005021234509383626,0.0014202195886052274,0.01935446952445485,0.09711389644875845,0.03288735880946629,0.0009231811992781071,0.04723265320100141,0.15079075798370875,0.03514419177227191,0.021847617923634904,0.09926457731314503,0.059238815952771064,0.034903837844099124,0.027182656967016928,0.04344412332383474,0.0383414971354846,0.10881462369243225,0.07574701643529429,0.08518462011887816
alkaloid,indole,0.04580419946964231,0.013948286584679389,0.08070399452966416,0.030189689200339362,0.0535474355460803,0.002445122984756016,0.0,0.010011837554073944,0.030932284527310755,0.0036955054913171497,0.0,0.0027685566012983233,0.010340069712003743,0.047310920110843965,0.003348122536563076,0.0007891600499490852,0.026238766523341308,0.0674636711781217,0.04196299865901141,0.012311409765300048,0.06300099844009344,0.052403304256783335,0.04637591556121334,0.014515050233165957,0.0782497407161497,0.06816314547532208,0.031314338412925004,0.004743508946873357,0.036420195256926836,0.061631912945600255,0.15815973249004836,0.013683460478571333,0.0734636717091388
alkaloid,indolizidine,0.0004716234048437661,0.0,0.0014847552181545653,0.0,0.008144933544854736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033562338518343168,0.0,0.0,0.01075828707279838,0.009211212079057927,0.0,0.0,0.0,0.004165209098511992,0.003872044489241384,0.004789570856434351,0.007195548196272427,0.017385845508720604,0.001814920889957781,0.0013770813098859702,0.0,0.001430839207798844,0.010372863572192838,0.015806510500848962,0.0,0.0029198231504996056
alkaloid,isoquinoline,0.012263281813979777,0.0013520267927639006,0.020842192651330683,0.005480403211999197,0.027240694487266032,0.003140371465106639,0.0,0.0,0.0026933964934635164,0.004746288864171502,0.0,0.0,0.004426724827780681,0.0022230493870757204,0.0,0.0020271010642104997,0.014174047510338364,0.02290017955242421,0.010747349277264288,0.0,0.020719201217884654,0.018786671649609243,0.016244314179465025,0.01016851240411806,0.07534525812262727,0.016927591549520605,0.01530889585146941,0.003206464510462533,0.007279253923310191,0.027362701609789142,0.06982456245261616,0.008008508963642462,0.025444888821338166
alkaloid,isoxazole,0.010193298830381755,0.0012211491490684515,0.009854512696152345,0.004949894302910826,0.0237374362528448,0.0,0.0,0.0,0.0016217818826766777,0.01857631971584428,0.0053602546224302975,0.0,0.002855866511741606,0.001338570548006742,0.0,0.0,0.009928069618874075,0.015512563207118846,0.01598799067738537,0.004760474675361722,0.03345757753646851,0.03657202498823919,0.025132330755203484,0.03122624428933717,0.04924241994771652,0.07134858514626875,0.11928698239557359,0.0011584301226649648,0.012418715967918666,0.022654465849853908,0.036265135938382806,0.01084991505930182,0.033913677771102095
