,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
alkaloid,acridine,0.09866468842729971,0.000741839762611276,0.09532640949554896,0.02967359050445104,0.06045994065281899,0.000370919881305638,0.0,0.0,0.004080118694362018,0.000370919881305638,0.0,0.0,0.002967359050445104,0.00370919881305638,0.0,0.00185459940652819,0.0051928783382789315,0.017062314540059347,0.001112759643916914,0.0,0.04710682492581603,0.0293026706231454,0.030415430267062313,0.009643916913946587,0.043397626112759644,0.022997032640949554,0.009643916913946587,0.005934718100890208,0.028560830860534125,0.054525222551928786,0.4807121661721068,0.002967359050445104,0.14910979228486648
alkaloid,benzylamine,0.08462455303933254,0.0,0.1966626936829559,0.027413587604290822,0.09535160905840286,0.0,0.0,0.0,0.004767580452920143,0.007151370679380214,0.0,0.0,0.0023837902264600714,0.0,0.0,0.0011918951132300357,0.015494636471990465,0.10488676996424315,0.04052443384982122,0.0,0.03694874851013111,0.08700834326579261,0.027413587604290822,0.0023837902264600714,0.028605482717520857,0.0631704410011919,0.014302741358760428,0.0011918951132300357,0.02264600715137068,0.02264600715137068,0.14898688915375446,0.007151370679380214,0.12157330154946365
alkaloid,colchicine,0.033414549251653325,0.0006961364427427776,0.01461886529759833,0.003480682213713888,0.03254437869822485,0.0,0.0,0.0,0.008179603202227636,0.0,0.0,0.0,0.0015663069961712496,0.0001740341106856944,0.0,0.0001740341106856944,0.017055342847198052,0.10772711451444483,0.029933867037939436,0.0033066481030281933,0.008005569091541943,0.022798468499825964,0.008353637312913331,0.0027845457709711106,0.018795683954054995,0.15280194918203968,0.28367560041768186,0.005569091541942221,0.03863557257222416,0.029759832927253742,0.21876087713191786,0.005917159763313609,0.15071353985381133
alkaloid,cyclopeptide,0.021533811862485833,0.00037778617302606723,0.0634680770683793,0.006044578768417076,0.013222516055912353,0.0,0.0,0.0,0.00680015111446921,0.00037778617302606723,0.0,0.00037778617302606723,0.004911220249338874,0.02342274272761617,0.0,0.0,0.01095579901775595,0.029467321496033247,0.017000377786173027,0.0026445032111824707,0.09406875708349074,0.14280317340385343,0.13486966377030601,0.003400075557234605,0.03475632791839819,0.03362296939931998,0.2587835285228561,0.0007555723460521345,0.01926709482432943,0.017000377786173027,0.19758216849263316,0.001511144692104269,0.0646014355874575
alkaloid,imidazole,0.06547258864819074,0.00048408568316592036,0.15170035096212028,0.018274234539513493,0.07231029892290936,0.00018153213118722014,0.0,6.0510710395740045e-05,0.0032070676509742225,0.0005445963935616604,0.0,0.0,0.0029045140989955223,0.0011497034975190609,0.0003025535519787002,0.00012102142079148009,0.011557545685586349,0.07618298438823672,0.017971680987534794,6.0510710395740045e-05,0.0519787002299407,0.1428052765339465,0.04036064383395861,0.0055669853564080845,0.0732784702892412,0.059845092581386906,0.023236112791964178,0.007321795957884546,0.02783492678204042,0.020331598692968654,0.17039816047440398,0.029408205252329664,0.1069829359796684
alkaloid,indole,0.09894626709513489,0.0039608399970106865,0.11075405425603467,0.02114939092743442,0.05358343920484269,0.0002989313205291084,0.0,0.0009715267917196024,0.013227710933413048,0.00044839698079366264,0.0,0.0001494656602645542,0.0031387788655556385,0.012256184141693447,0.00022419849039683132,7.47328301322771e-05,0.017412749420820568,0.058814737314102083,0.025483895075106493,0.0008967939615873253,0.0770495478663777,0.055152828637620506,0.05918840146476347,0.004110305657275241,0.06419550108362604,0.07652641805545175,0.023167177341005905,0.0014199237725132652,0.02593229205590016,0.03632015544428668,0.2752410133771766,0.005903893580449892,0.1025334429414842
alkaloid,indolizidine,0.013888888888888888,0.0,0.027777777777777776,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.08333333333333333,0.0,0.0,0.0,0.06944444444444445,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.19444444444444445,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.08333333333333333,0.375,0.0,0.05555555555555555
alkaloid,isoquinoline,0.06804733727810651,0.0009861932938856016,0.07347140039447732,0.009861932938856016,0.07001972386587771,0.0009861932938856016,0.0,0.0,0.0029585798816568047,0.0014792899408284023,0.0,0.0,0.0034516765285996054,0.0014792899408284023,0.0,0.0004930966469428008,0.024161735700197237,0.05128205128205128,0.016765285996055226,0.0,0.0650887573964497,0.050788954635108484,0.05325443786982249,0.0073964497041420114,0.15877712031558186,0.04881656804733728,0.029092702169625246,0.002465483234714004,0.013313609467455622,0.04142011834319527,0.3121301775147929,0.008875739644970414,0.09122287968441814
alkaloid,isoxazole,0.05108608205953339,0.0008045052292839903,0.031375703942075624,0.008045052292839904,0.05510860820595334,0.0,0.0,0.0,0.0016090104585679806,0.005229283990345938,0.00040225261464199515,0.0,0.002011263073209976,0.0008045052292839903,0.0,0.0,0.015285599356395816,0.031375703942075624,0.02252614641995173,0.0008045052292839903,0.09493161705551086,0.08930008045052293,0.07441673370876911,0.020514883346741754,0.09372485921158488,0.18584070796460178,0.20474658085277556,0.0008045052292839903,0.020514883346741754,0.030973451327433628,0.14641995172968625,0.01086082059533387,0.10981496379726469
