,,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity
,,antioxidant,drought,metal,uv,salt,antifeedant,arbuscula,attractant,germination,herbicidal,hppd,hyphal,phytotoxicity,quorum sensing,repulsive,toxicant,antidiabetic,cardiovascular,obesity,rheumatism,antibacterial,antifungal,antimicrobial,antiparasitic,antiviral,anti-inflammatory,arthritis,burns,wound,anticancer,cytotoxicity,sedative,toxicity
alkaloid,acridine,266,2,257,80,163,1,0,0,11,1,0,0,8,10,0,5,14,46,3,0,127,79,82,26,117,62,26,16,77,147,1296,8,402
alkaloid,benzylamine,71,0,165,23,80,0,0,0,4,6,0,0,2,0,0,1,13,88,34,0,31,73,23,2,24,53,12,1,19,19,125,6,102
alkaloid,colchicine,192,4,84,20,187,0,0,0,47,0,0,0,9,1,0,1,98,619,172,19,46,131,48,16,108,878,1630,32,222,171,1257,34,866
alkaloid,cyclopeptide,57,1,168,16,35,0,0,0,18,1,0,1,13,62,0,0,29,78,45,7,249,378,357,9,92,89,685,2,51,45,523,4,171
alkaloid,imidazole,1082,8,2507,302,1195,3,0,1,53,9,0,0,48,19,5,2,191,1259,297,1,859,2360,667,92,1211,989,384,121,460,336,2816,486,1768
alkaloid,indole,1324,53,1482,283,717,4,0,13,177,6,0,2,42,164,3,1,233,787,341,12,1031,738,792,55,859,1024,310,19,347,486,3683,79,1372
alkaloid,indolizidine,1,0,2,0,8,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,5,4,6,2,14,2,1,0,1,6,27,0,4
alkaloid,isoquinoline,138,2,149,20,142,2,0,0,6,3,0,0,7,3,0,1,49,104,34,0,132,103,108,15,322,99,59,5,27,84,633,18,185
alkaloid,isoxazole,127,2,78,20,137,0,0,0,4,13,1,0,5,2,0,0,38,78,56,2,236,222,185,51,233,462,509,2,51,77,364,27,273
