;;*;*;*;*;*;*;*;*;*;*;*;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;chronic disease;chronic disease;chronic disease;chronic disease;infection;infection;infection;infection;infection;inflammation;inflammation;inflammation;inflammation;neoplasm;neoplasm;toxicity / intoxication;toxicity / intoxication
;;allelopathy;allergy;antioxidant;antipyretic;chronic disease;diuretic;infection;inflammation;neoplasm;stimulant;toxicity / intoxication;antifeedant;arbuscula development;attractant;germination;herbicidal;hppd inhibitor;hyphal branching;hyphal growth;phytotoxicity;quorum sensing;repulsive;toxicant;antidiabetic;cardiovascular;obesity;rheumatism;antibacterial;antifungal;antimicrobial;antiparasitic;antiviral;anti-inflammatory;arthritis;burns;wound;anticancer;cytotoxicity;sedative;toxicity
*;alkaloid;51;111;3517;192;398;393;948;1155;3455;345;3877;45;0;7;141;14;0;0;2;115;37;1;20;861;1019;191;6;2421;1383;1775;120;683;1385;274;63;410;359;4482;303;3137
*;heteroside;0;0;5;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;2;0;3
*;phenolic compound;185;10;9054;3;38;7;93;152;132;2;857;9;0;12;356;5;0;0;1;196;18;2;3;149;81;80;0;549;271;958;9;53;371;9;4;55;91;461;2;853
*;polyketide;5;2;79;0;5;0;109;21;93;0;51;1;0;1;27;5;0;0;0;15;38;0;0;10;2;5;0;346;363;308;15;59;36;1;0;4;39;422;0;50
*;terpenoid / terpene;119;227;2857;69;153;49;565;747;1026;20;1374;66;0;92;208;28;0;1;2;134;49;0;1;447;153;82;4;1940;1365;1776;61;326;961;233;-1;226;200;2193;-1;1300
alkaloid;acridine;0;-1;-1;-1;-1;10;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;8;9;0;5;14;44;3;0;122;75;77;24;115;61;26;16;74;139;1259;8;389
alkaloid;benzylamine;1;8;69;0;43;10;55;140;156;19;156;0;0;0;4;6;0;0;0;2;0;0;1;11;85;32;0;30;72;23;2;22;51;12;1;17;19;119;6;101
alkaloid;colchicine;1;94;182;45;870;415;954;1078;1545;17;1261;0;0;0;43;0;0;0;0;9;1;0;1;96;570;160;18;46;128;48;16;94;845;1567;31;218;158;1232;34;855
alkaloid;cyclopeptide;2;14;57;3;56;8;258;205;764;1;176;0;0;0;17;1;0;1;0;13;60;0;0;28;76;43;6;236;365;335;9;92;89;668;1;48;42;498;4;167
alkaloid;imidazole;1;272;1065;23;770;267;2128;2170;5942;65;1932;3;0;1;54;8;0;0;0;47;18;5;2;185;1250;288;1;826;2331;643;89;1163;970;381;119;447;323;2745;478;1743
