;;abiotic;abiotic;abiotic;abiotic;abiotic;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;allelopathy;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;pharmaco;toxicity
;;antioxidant;drought;metal;salt;uv;antifeedant;arbuscula;attractant;germination;herbicidal;hppd;hyphal;phytotoxicity;quorum sensing;repulsive;toxicant;anti-inflammatory;antibacterial;anticancer;antidiabetic;antifungal;antimicrobial;antiparasitic;antiviral;arthritis;burns;cardiovascular;cytotoxicity;obesity;rheumatism;sedative;wound;toxicity
alkaloid;acridine;;;;;;1;0;0;11;1;0;0;8;9;0;5;61;122;139;14;75;77;24;115;26;16;44;1259;3;0;8;74;389
alkaloid;benzylamine;;;;;;0;0;0;4;6;0;0;2;0;0;1;51;30;19;11;72;23;2;22;12;1;85;119;32;0;6;17;101
alkaloid;colchicine;;;;;;0;0;0;43;0;0;0;9;1;0;1;845;46;158;96;128;48;16;94;1567;31;570;1232;160;18;34;218;855
alkaloid;cyclopeptide;;;;;;0;0;0;17;1;0;1;13;60;0;0;89;236;42;28;365;335;9;92;668;1;76;498;43;6;4;48;167
alkaloid;imidazole;;;;;;3;0;1;54;8;0;0;47;18;5;2;970;826;323;185;2331;643;89;1163;381;119;1250;2745;288;1;478;447;1743
alkaloid;indole;;;;;;4;0;13;172;5;0;0;38;159;3;1;997;988;460;220;723;752;53;833;305;19;778;3601;336;12;77;328;1337
alkaloid;indolizidine;;;;;;0;0;0;0;0;0;0;1;0;0;1;2;5;6;6;4;6;2;14;1;0;0;27;0;0;0;1;4
alkaloid;isoquinoline;;;;;;2;0;0;6;3;0;0;7;3;0;1;91;129;81;47;100;103;15;316;57;5;100;613;31;0;18;26;179
alkaloid;isoxazole;;;;;;0;0;0;4;13;1;0;5;2;0;0;451;230;69;36;214;176;49;228;508;2;77;356;54;2;27;48;269
alkaloid;muscarine;;;;;;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;2;3;0;25;2;2;0;3;4;19
alkaloid;oxazole;;;;;;0;0;0;4;7;0;0;3;4;0;0;161;251;58;85;203;163;6;91;61;2;125;394;57;0;18;19;243
alkaloid;phenylethylamine;;;;;;1;0;0;0;0;0;0;2;0;0;0;0;2;1;1;1;3;0;1;0;0;3;5;0;0;0;1;9
alkaloid;piperidine;;;;;;1;0;0;7;5;0;0;2;1;0;0;432;362;102;426;233;225;29;295;404;41;975;1004;462;0;429;101;767
alkaloid;purine;;;;;;0;0;1;72;1;0;0;3;22;0;2;155;121;94;96;106;98;35;855;251;11;461;1163;169;0;18;106;662
alkaloid;putrescine;;;;;;0;0;8;68;0;0;0;17;9;0;1;17;25;7;3;21;28;8;14;14;4;28;224;18;0;2;47;162
alkaloid;pyridine;;;;;;5;0;3;33;48;2;0;28;25;15;11;1120;1079;501;213;1023;884;41;935;463;69;1242;2854;251;2;810;370;1803
alkaloid;pyrrolidine;;;;;;0;0;0;3;7;1;0;3;10;0;0;196;227;73;209;120;110;6;274;62;12;151;557;81;0;17;47;238
alkaloid;pyrrolizidine;;;;;;6;0;2;5;1;0;0;16;1;0;11;13;20;1;5;16;16;1;9;3;1;44;124;1;0;3;6;458
alkaloid;quinazoline;;;;;;0;0;0;2;5;1;0;3;5;0;0;206;265;166;78;185;198;20;190;60;3;212;781;36;0;43;65;411
alkaloid;quinoline;;;;;;1;0;0;16;7;1;0;21;63;0;1;565;2381;318;146;1042;2901;101;482;380;86;522;1947;167;12;53;589;1320
alkaloid;quinolizidine;;;;;;0;0;0;3;0;0;0;3;0;0;1;14;12;5;7;7;12;0;20;2;0;4;50;0;0;0;2;22
alkaloid;spermidine;;;;;;0;0;0;75;0;0;1;19;10;0;0;21;39;12;6;32;45;11;21;17;5;39;312;40;0;2;33;164
alkaloid;spermine;;;;;;0;0;0;47;1;0;0;14;3;1;0;26;27;12;7;20;38;5;26;14;6;48;424;34;0;2;29;181
alkaloid;thiazole;;;;;;3;0;0;34;16;0;0;11;26;1;3;1336;949;326;526;904;743;132;579;238;22;355;2677;290;2;106;158;1186
alkaloid;tropane;;;;;;0;0;0;3;0;0;0;4;1;0;0;10;4;2;7;2;3;1;16;5;1;47;30;9;0;4;5;70
phenolic compound;acetophenone;;;;;;2;0;9;14;3;0;0;4;12;0;2;205;244;27;27;211;189;1;53;25;7;60;265;30;0;4;23;143
phenolic compound;anthraquinone;;;;;;3;0;0;19;4;0;0;33;11;2;1;320;526;101;131;285;379;8;109;54;8;53;947;47;0;9;77;713
phenolic compound;biflavonoids;;;;;;0;0;0;3;0;0;0;0;0;0;0;85;39;7;26;14;22;0;52;4;0;27;141;22;0;1;8;32
phenolic compound;flavonoids;;;;;;37;0;3;483;8;0;0;138;93;2;6;3290;3740;653;1820;1596;3122;73;924;404;75;1124;5156;716;8;115;847;2971
phenolic compound;isoflavanoids;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phenolic compound;lignans;;;;;;5;0;0;20;1;0;0;13;0;0;0;422;102;48;47;97;67;13;147;33;2;85;727;61;0;10;33;134
phenolic compound;naphthoquinone;;;;;;3;0;0;17;3;0;0;11;4;0;0;206;292;128;25;299;203;41;106;18;9;26;1103;18;0;5;67;310
phenolic compound;phenol;;;;;;15;0;17;752;17;0;0;397;126;22;68;2107;3676;633;1205;1940;3459;67;528;211;205;788;4830;639;4;86;771;6443
phenolic compound;phenolic acid;;;;;;8;0;2;287;1;0;0;93;12;2;1;420;540;77;206;275;697;4;59;19;6;88;602;65;0;7;74;417
phenolic compound;phenylpropanoid;;;;;;2;0;8;27;0;0;0;10;2;0;0;82;56;4;16;44;62;4;31;5;1;10;129;1;0;2;32;40
phenolic compound;stilbene;;;;;;3;0;0;23;0;0;0;7;9;1;0;700;144;108;113;147;119;10;114;51;12;264;1072;237;0;2;91;276
phenolic compound;tannin;;;;;;8;0;0;152;0;0;0;36;26;2;4;646;2042;140;712;771;1514;43;270;106;76;150;1164;127;1;41;386;1480
phenolic compound;xanthone;;;;;;0;0;0;6;1;0;0;2;7;0;1;149;234;63;75;136;140;2;74;28;3;34;652;28;0;2;36;139
polyketide;acetogenin;;;;;;0;0;0;3;1;0;0;2;1;0;0;7;23;6;2;13;9;5;6;0;0;2;226;1;0;0;2;34
polyketide;ansamycin;;;;;;0;0;0;0;0;0;0;0;0;0;0;3;21;3;1;9;23;0;10;2;1;1;40;0;0;0;2;17
polyketide;macrolide;;;;;;0;0;10;18;2;0;0;12;45;1;0;256;1141;68;95;1049;2147;156;189;199;38;325;761;101;0;49;230;664
polyketide;polyene;;;;;;0;0;4;10;1;0;0;4;5;2;2;22;59;6;1;892;87;4;25;13;8;18;124;8;0;1;15;141
polyketide;polyether;;;;;;0;0;0;3;0;0;0;1;0;2;1;11;85;13;0;15;38;6;7;2;6;19;129;3;0;1;39;64
polyketide;tetracycline;;;;;;0;0;0;53;1;0;0;40;161;1;0;424;3100;40;255;1162;6397;72;159;909;362;392;802;165;3;126;1782;1856
terpenoid / terpene;diterpene;;;;;;26;0;3;38;5;0;0;33;13;0;1;551;392;71;72;229;272;11;209;72;5;56;1367;36;1;8;69;307
