,,,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco
,,,germination,germination,herbicidal,herbicidal,cytotoxicity,cytotoxicity,sedative,sedative
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,acridine,w/o,3552,362,3899,15,399,3515,3880,34
alkaloid,acridine,w/,1305,11,1315,1,17,1299,1308,8
phenolic compound,anthraquinone,w/o,3875,351,4214,12,383,3843,4195,31
phenolic compound,anthraquinone,w/,982,22,1000,4,33,971,993,11
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/o,4376,63,4432,7,98,4341,4400,39
terpenoid/terpene,tetraterpene/carotenoid/xanthophyll,w/,481,310,782,9,318,473,788,3
terpenoid/terpene,triterpene,w/o,2712,341,3039,14,364,2689,3033,20
terpenoid/terpene,triterpene,w/,2145,32,2175,2,52,2125,2155,22
